Datetime,Water Level (m)
2022-12-13 18:00:00,-0.09920883
2022-12-13 19:00:00,0.45631608
2022-12-13 20:00:00,0.90225804
2022-12-13 21:00:00,1.1491709
2022-12-13 22:00:00,1.117512
2022-12-13 23:00:00,0.7166551
2022-12-14 00:00:00,0.08282612
2022-12-14 01:00:00,-0.44454595
2022-12-14 02:00:00,-0.8155969
2022-12-14 03:00:00,-1.133191
2022-12-14 04:00:00,-1.2618935
2022-12-14 05:00:00,-1.1442406
2022-12-14 06:00:00,-0.61117554
2022-12-14 07:00:00,-0.021547375
2022-12-14 08:00:00,0.3969578
2022-12-14 09:00:00,0.6791686
2022-12-14 10:00:00,0.7028802
2022-12-14 11:00:00,0.42806077
2022-12-14 12:00:00,-0.062113002
2022-12-14 13:00:00,-0.5034158
2022-12-14 14:00:00,-0.8252854
2022-12-14 15:00:00,-1.0497041
2022-12-14 16:00:00,-1.1134007
2022-12-14 17:00:00,-0.9598038
2022-12-14 18:00:00,-0.44538033
2022-12-14 19:00:00,0.11778255
2022-12-14 20:00:00,0.5769069
2022-12-14 21:00:00,0.91332245
2022-12-14 22:00:00,1.0715486
2022-12-14 23:00:00,0.8800114
2022-12-15 00:00:00,0.35103753
2022-12-15 01:00:00,-0.19972709
2022-12-15 02:00:00,-0.6230628
2022-12-15 03:00:00,-0.9299908
2022-12-15 04:00:00,-1.1323972
2022-12-15 05:00:00,-1.1737046
2022-12-15 06:00:00,-0.97416097
2022-12-15 07:00:00,-0.47430626
2022-12-15 08:00:00,0.014934041
2022-12-15 09:00:00,0.37559256
2022-12-15 10:00:00,0.637335
2022-12-15 11:00:00,0.6697225
2022-12-15 12:00:00,0.43111417
2022-12-15 13:00:00,-0.014527155
2022-12-15 14:00:00,-0.44492286
2022-12-15 15:00:00,-0.7721243
2022-12-15 16:00:00,-0.99812514
2022-12-15 17:00:00,-1.0556374
2022-12-15 18:00:00,-0.8451519
2022-12-15 19:00:00,-0.2876239
2022-12-15 20:00:00,0.21093547
2022-12-15 21:00:00,0.6046987
2022-12-15 22:00:00,0.86130875
2022-12-15 23:00:00,0.92608964
2022-12-16 00:00:00,0.66074306
2022-12-16 01:00:00,0.15255232
2022-12-16 02:00:00,-0.31753948
2022-12-16 03:00:00,-0.6718919
2022-12-16 04:00:00,-0.93082136
2022-12-16 05:00:00,-1.0927054
2022-12-16 06:00:00,-1.130219
2022-12-16 07:00:00,-0.95044345
2022-12-16 08:00:00,-0.4789339
2022-12-16 09:00:00,0.0022232165
2022-12-16 10:00:00,0.379843
2022-12-16 11:00:00,0.6630397
2022-12-16 12:00:00,0.70403254
2022-12-16 13:00:00,0.47889394
2022-12-16 14:00:00,0.038519997
2022-12-16 15:00:00,-0.39658943
2022-12-16 16:00:00,-0.7230312
2022-12-16 17:00:00,-0.94078636
2022-12-16 18:00:00,-0.9905952
2022-12-16 19:00:00,-0.7920433
2022-12-16 20:00:00,-0.2969956
2022-12-16 21:00:00,0.15784939
2022-12-16 22:00:00,0.52502453
2022-12-16 23:00:00,0.77003795
2022-12-17 00:00:00,0.8175302
2022-12-17 01:00:00,0.5572173
2022-12-17 02:00:00,0.087871134
2022-12-17 03:00:00,-0.35258114
2022-12-17 04:00:00,-0.69718534
2022-12-17 05:00:00,-0.9681722
2022-12-17 06:00:00,-1.1341681
2022-12-17 07:00:00,-1.1682475
2022-12-17 08:00:00,-0.9876846
2022-12-17 09:00:00,-0.5072561
2022-12-17 10:00:00,-0.0016283899
2022-12-17 11:00:00,0.40799642
2022-12-17 12:00:00,0.72080904
2022-12-17 13:00:00,0.8087047
2022-12-17 14:00:00,0.6140652
2022-12-17 15:00:00,0.17629296
2022-12-17 16:00:00,-0.28743196
2022-12-17 17:00:00,-0.6435039
2022-12-17 18:00:00,-0.88141346
2022-12-17 19:00:00,-0.9859512
2022-12-17 20:00:00,-0.8685702
2022-12-17 21:00:00,-0.4537463
2022-12-17 22:00:00,0.045259386
2022-12-17 23:00:00,0.4443715
2022-12-18 00:00:00,0.72661847
